X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"209092",2022/08/10 11:02:00,2022/08/10 12:08:00+00,"30",DE,DEU,Deutschland,Rheinland-Pfalz,Koblenz,Birkenfeld,"Baumholder, Stadt",sentinel,0,0,0,0,21.4285714284949,78.571428571148,0,0,0,100,"0",2022/08/14 11:00:35.759,EU,EU
,,"209093",2022/08/04 02:32:00,2022/08/04 12:21:00+00,"32",DE,DEU,Deutschland,Berlin,Berlin,Berlin,"Berlin, Stadt",sentinel,0,90.3225806448699,9.67741935480749,0,0,0,0,0,0,52.5758796734059,"0",2022/08/14 11:03:23.892,EU,EU
,,"209094",2022/08/10 11:02:00,2022/08/10 11:02:00+00,"7",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.99999999875,0,0,0,0,100,"0",2022/08/14 11:04:28.699,EU,EU
,,"208707",2022/08/02 10:13:00,2022/08/02 11:19:00+00,"37",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.9999999997222,0,0,0,0,100,"0",2022/08/14 11:04:49.462,EU,EU
,,"209095",2022/08/10 11:00:00,2022/08/10 11:00:00+00,"5",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.999999998,0,0,0,0,100,"0",2022/08/14 11:05:09.767,EU,EU
,,"209103",2022/07/24 00:09:00,2022/07/24 01:00:00+00,"2",DE,DEU,Deutschland,Bayern,Niederbayern,Regen,Bischofsmais,sentinel,0,0,0,0,0,0,99.99999999,0,0,0,"0",2022/08/14 11:48:47.376,EU,EU
,,"209251",2022/07/20 11:13:00,2022/07/20 12:02:00+00,"3",DE,DEU,Deutschland,Brandenburg,Brandenburg,Oder-Spree,Bad Saarow,sentinel,0,99.9999999975,0,0,0,0,0,0,0,0,"0",2022/08/17 10:50:17.985,EU,EU
,,"210376",2022/09/03 12:59:00,2022/09/04 02:51:00+00,"11",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Harz,"Wernigerode, Stadt",sentinel,0,74.999999999375,0,0,0,24.9999999997917,0,0,0,100,"0",2022/09/14 09:15:33.655,EU,EU
,,"209577",2022/08/13 01:24:00,2022/08/13 03:04:00+00,"17",DE,DEU,Deutschland,Hessen,Gießen,Lahn-Dill-Kreis,"Haiger, Stadt",sentinel,0,68.7499999995703,0,0,0,31.2499999998047,0,0,0,100,"0",2022/08/23 12:44:15.607,EU,EU
,,"210541",2022/09/03 12:10:00,2022/09/03 12:59:00+00,"3",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,Südharz,sentinel,74.999999998125,24.999999999375,0,0,0,0,0,0,0,100,"0",2022/09/19 07:20:35.919,EU,EU
,,"183864",2022/03/21 00:00:00,2022/03/21 00:00:00+00,"11",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.9999999991667,0,0,0,0,100,"0",2022/10/20 12:25:43.384,EU,EU
,,"210872",2022/09/09 00:28:00,2022/09/11 00:39:00+00,"7",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Neuruppin, Stadt",sentinel,0,85.7142857130612,0,0,0,0,14.2857142855102,0,0,0,"0",2022/09/29 09:59:13.133,EU,EU
,,"206680",2022/07/20 12:02:00,2022/07/20 12:02:00+00,"2",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2022/10/20 12:25:43.384,EU,EU
,,"184237",2022/03/13 12:21:00,2022/03/23 12:34:00+00,"810",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,5.65110565110496,0.614250614250539,7.00245700245614,0,86.7321867321761,0,0,0,0,100,"0",2022/10/20 12:36:47.889,EU,EU
,,"206679",2022/07/20 11:10:00,2022/07/20 12:02:00+00,"12",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.9999999990909,0,0,0,0,100,"0",2022/10/20 12:36:47.889,EU,EU
,,"184261",2022/03/22 10:24:00,2022/03/22 12:53:00+00,"76",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,"Munster, Stadt",sentinel,0,0,0,0,99.9999999998684,0,0,0,0,100,"0",2022/10/24 13:13:42.777,EU,EU
,,"192416",2022/03/07 00:00:00,2022/03/07 00:00:00+00,"15",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,Wietzendorf,sentinel,0,0,0,0,99.9999999994118,0,0,0,0,100,"0",2022/10/27 13:52:12.468,EU,EU
,,"201941",2022/05/09 09:55:00,2022/05/09 12:04:00+00,"2",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,Wietzendorf,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2022/10/27 13:52:12.468,EU,EU
,,"203976",2022/06/22 10:19:00,2022/06/22 13:18:00+00,"59",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Jerichower Land,"Möckern, Stadt",sentinel,0,0,0,0,99.9999999998246,0,0,0,0,100,"0",2022/10/28 13:46:24.358,EU,EU
,,"209252",2022/08/11 02:02:00,2022/08/11 02:02:00+00,"23",DE,DEU,Deutschland,Hessen,Darmstadt,Darmstadt-Dieburg,Münster,sentinel,0,91.999999999632,0,0,0,7.999999999968,0,0,0,0,"0",2023/02/21 15:30:45.676,EU,EU
,,"208787",2022/07/25 20:34:00,2022/07/25 20:34:00+00,"148",DE,DEU,Deutschland,Sachsen,Dresden,Sächsische Schweiz-Osterzgebirge,"Bad Schandau, Stadt",sentinel,1.36986301369769,94.5205479451407,4.10958904109308,0,0,0,0,0,0,100,"0",2023/02/22 17:25:46.123,EU,EU
,,"216562",2023/06/09 12:27:00,2023/06/09 13:21:00+00,"8",DE,DEU,Deutschland,Brandenburg,Brandenburg,Teltow-Fläming,"Jüterbog, Stadt",sentinel,0,0,0,0,37.4999999995313,62.4999999992187,0,0,0,100,"0",2023/06/12 07:55:12.858,EU,EU
